ticker,date,weighted_joy,weighted_fear,weighted_anger,weighted_sadness,weighted_surprise,weighted_neutral,weighted_polarity,topic_score,headline_count,label_1d,label_3d,label_5d,emotion_std,weighted_joy_prev,weighted_fear_prev,weighted_anger_prev,weighted_sadness_prev,weighted_surprise_prev,dominant_emotion
AAPL,2010-07-28,0.012851687455791539,0.010396276013877813,0.022821059021462253,0.003718923482000336,0.4931005459504867,0.02486077695548864,0.46901597488893776,0.7739266753196716,1,0,1,1,0.21506420264434523,0.0,0.0,0.0,0.0,0.0,4
AAPL,2011-03-16,0.36083611983088376,0.00916735005699056,0.004604110296705045,0.005428755343482138,0.6281737846902438,0.09475467708318326,0.9698096888239498,0.8299807906150818,1,1,1,1,0.28356753576873966,0.012851687455791539,0.010396276013877813,0.022821059021462253,0.003718923482000336,0.4931005459504867,4
AAPL,2011-04-21,0.13565582177293042,0.0063555329181675824,0.0025700622268851397,0.001734940150076134,0.5086581503075465,0.011106444735644911,0.6336534367853479,0.7242046594619751,1,1,0,0,0.2187391727769905,0.36083611983088376,0.00916735005699056,0.004604110296705045,0.005428755343482138,0.6281737846902438,4
AAPL,2012-06-07,0.027246130847243963,0.002198060356489467,0.0017491731339960568,0.0004729900685996728,0.7109733968759713,0.014020985305682705,0.73379930416413,0.8510575294494629,1,1,1,0,0.314615192524997,0.13565582177293042,0.0063555329181675824,0.0025700622268851397,0.001734940150076134,0.5086581503075465,4
AAPL,2012-12-12,0.04146415862043182,0.014494846872234518,0.005172411132239739,0.0016889086789979586,0.6074477347158904,0.004326498641578157,0.62755572665285,0.6319906711578369,1,0,0,0,0.26509426589438134,0.027246130847243963,0.002198060356489467,0.0017491731339960568,0.0004729900685996728,0.7109733968759713,4
AAPL,2013-09-10,0.46369744091001763,0.0021609449772072432,0.0031014213427058594,0.0005408223056970392,0.6807464119611772,0.022395615970113046,1.1386406642455846,0.8679705262184143,1,0,0,0,0.3216488472684114,0.04146415862043182,0.014494846872234518,0.005172411132239739,0.0016889086789979586,0.6074477347158904,4
AAPL,2015-10-28,0.018497127950907712,0.004265022512296932,0.03344844061074489,0.0016831190282140512,0.6566857868554442,0.03492858492888604,0.6357863326550962,0.665188729763031,1,1,1,1,0.28748626766853264,0.46369744091001763,0.0021609449772072432,0.0031014213427058594,0.0005408223056970392,0.6807464119611772,4
AAPL,2016-04-28,0.0843633283456171,0.03793665026557846,0.2997523087192206,0.10044764811565443,0.7392993963683806,0.15884113343931,0.3855261176135443,0.7465729713439941,1,0,1,0,0.2901006824856524,0.018497127950907712,0.004265022512296932,0.03344844061074489,0.0016831190282140512,0.6566857868554442,4
AAPL,2016-05-05,0.02516671675319769,0.030052128912089353,0.008580160158833932,0.005842572404878489,0.6869728568492519,0.0116926580612997,0.6676647121266477,0.7405261993408203,1,0,1,0,0.29961762058447455,0.0843633283456171,0.03793665026557846,0.2997523087192206,0.10044764811565443,0.7392993963683806,4
AAPL,2016-07-26,0.008379804165930826,0.05773188427802722,0.012839241351683113,0.16376169640039961,0.7128269697290648,0.016543719986577426,0.4868739518648857,0.7585649490356445,1,1,1,1,0.2982855325872982,0.02516671675319769,0.030052128912089353,0.008580160158833932,0.005842572404878489,0.6869728568492519,4
AAPL,2016-10-27,0.03042923130167604,0.0848560659176742,0.4388385895253286,0.11635319423438693,0.6430644272934316,0.07558237555271628,0.03344580891771782,0.6558962464332581,1,0,0,0,0.2658465075776961,0.008379804165930826,0.05773188427802722,0.012839241351683113,0.16376169640039961,0.7128269697290648,4
AAPL,2016-10-28,0.1750395630522661,0.0038396079550110174,0.021443495153529352,0.0016284423318133551,0.6761289664710972,0.010287375285937771,0.8242569840830094,0.6785790920257568,1,0,0,0,0.28899027761467194,0.03042923130167604,0.0848560659176742,0.4388385895253286,0.11635319423438693,0.6430644272934316,4
AAPL,2017-03-03,0.05440996343140101,0.11966307914368364,0.038640711027432224,0.008254464468353238,0.6110408212482099,0.0112868951066533,0.4988925300401417,0.8123084902763367,1,0,0,0,0.25187497607596604,0.1750395630522661,0.0038396079550110174,0.021443495153529352,0.0016284423318133551,0.6761289664710972,4
AAPL,2017-07-19,0.00397683047205165,0.0028573035186289304,0.0013617188350610852,0.000375016701694196,0.5300777804021273,0.008210803564102021,0.5294605718187946,0.7097116112709045,1,0,1,1,0.2361037663515615,0.05440996343140101,0.11966307914368364,0.038640711027432224,0.008254464468353238,0.6110408212482099,4
AAPL,2017-10-19,0.011342611314325311,0.12131775080835179,0.004039558506011285,0.005309017410149313,0.7152334691333807,0.045567480413895474,0.5959097537231935,0.9519829750061036,1,1,1,1,0.30800858820376126,0.00397683047205165,0.0028573035186289304,0.0013617188350610852,0.000375016701694196,0.5300777804021273,4
AAPL,2017-11-07,0.09826910051231595,0.2026463755293051,0.4963268067694848,0.28472851813436506,0.7878443043720472,0.07394696826150904,-0.09758829554879164,0.7899859547615051,1,1,1,0,0.27367404887219915,0.011342611314325311,0.12131775080835179,0.004039558506011285,0.005309017410149313,0.7152334691333807,4
AAPL,2018-02-15,0.0009261107228683226,0.0038053517817229696,0.0007895336986540765,0.002472376887469335,0.46141789889939133,0.061660549372883004,0.4552767472544132,0.7119747400283813,1,0,0,1,0.20546238303193343,0.09826910051231595,0.2026463755293051,0.4963268067694848,0.28472851813436506,0.7878443043720472,4
AAPL,2018-05-16,0.2983867568336809,0.011872742520167744,0.00836851369176885,0.030687637846090732,0.5694626245475689,0.013404914172952372,0.8169204873232223,0.6266772150993347,1,0,0,1,0.24781260998959753,0.0009261107228683226,0.0038053517817229696,0.0007895336986540765,0.002472376887469335,0.46141789889939133,4
AAPL,2018-08-03,0.009816873529645442,0.008303036121841339,0.012486573868471365,0.004397464578139966,0.5391514336956824,0.08081480012532834,0.5237812326568752,0.6561110615730286,1,1,0,1,0.2372203361876801,0.2983867568336809,0.011872742520167744,0.00836851369176885,0.030687637846090732,0.5694626245475689,4
AAPL,2018-11-28,0.09854981550750613,0.0030632664769773394,0.006078769031012752,0.0007988943032286832,0.5859766565709776,0.016028746529196548,0.6745855422672649,0.7131888270378113,1,0,1,0,0.2533133864365084,0.009816873529645442,0.008303036121841339,0.012486573868471365,0.004397464578139966,0.5391514336956824,4
