Ticker,Experiment,GradientBoosting,LogisticRegression,RandomForest
AAPL,Baseline,0.4643,0.49406666666666665,0.4643
AAPL,Emotion Only,0.4821333333333333,0.5297999999999999,0.4583333333333333
AAPL,Topic + Emotion,0.5119333333333334,0.48216666666666663,0.4643
AAPL,Topic Only,0.5297666666666667,0.5059666666666667,0.5654666666666667
AMZN,Baseline,0.48550000000000004,0.5217333333333333,0.48550000000000004
AMZN,Emotion Only,0.44930000000000003,0.5579999999999999,0.529
AMZN,Topic + Emotion,0.442,0.4565333333333333,0.5145
AMZN,Topic Only,0.6449666666666666,0.5942,0.6231666666666666
GOOGL,Baseline,0.48146666666666665,0.48146666666666665,0.48146666666666665
GOOGL,Emotion Only,0.5608666666666666,0.4497333333333333,0.5396666666666666
GOOGL,Topic + Emotion,0.5026666666666667,0.45503333333333335,0.5132333333333333
GOOGL,Topic Only,0.5026333333333334,0.48146666666666665,0.5185333333333334
META,Baseline,0.5038666666666667,0.5426333333333334,0.5038666666666667
META,Emotion Only,0.4961333333333333,0.5038666666666667,0.5659000000000001
META,Topic + Emotion,0.48836666666666667,0.5194,0.5503666666666667
META,Topic Only,0.4961333333333333,0.49610000000000004,0.4573666666666667
MSFT,Baseline,0.4263666666666667,0.5038666666666667,0.4263666666666667
MSFT,Emotion Only,0.4418666666666667,0.4186,0.4961333333333333
MSFT,Topic + Emotion,0.4418666666666667,0.5039,0.5271
MSFT,Topic Only,0.4728333333333334,0.4263333333333334,0.5194
NVDA,Baseline,0.5213333333333333,0.5469666666666667,0.5213333333333333
NVDA,Emotion Only,0.49576666666666663,0.5128333333333334,0.4872
NVDA,Topic + Emotion,0.5555666666666667,0.5128,0.5384666666666668
NVDA,Topic Only,0.5299333333333334,0.4786333333333334,0.5042666666666668
TSLA,Baseline,0.45613333333333334,0.4152,0.45613333333333334
TSLA,Emotion Only,0.5146333333333334,0.47953333333333337,0.43860000000000005
TSLA,Topic + Emotion,0.45613333333333334,0.43860000000000005,0.42106666666666664
TSLA,Topic Only,0.4853666666666667,0.46786666666666665,0.4737
