Ticker,Target,Experiment,Model,Accuracy,F1,Balanced Accuracy
AMZN,label_5d,Topic + Emotion,GradientBoosting,0.413,0.3415,0.4058
GOOGL,label_1d,Baseline,LogisticRegression,0.4762,0.6452,0.5
GOOGL,label_1d,Baseline,RandomForest,0.4762,0.6452,0.5
GOOGL,label_1d,Baseline,GradientBoosting,0.4762,0.6452,0.5
GOOGL,label_1d,Topic Only,LogisticRegression,0.4762,0.6452,0.5
GOOGL,label_1d,Topic Only,RandomForest,0.5556,0.641,0.5682
GOOGL,label_1d,Topic Only,GradientBoosting,0.5238,0.6154,0.5364
GOOGL,label_1d,Emotion Only,LogisticRegression,0.5079,0.6437,0.5273
GOOGL,label_1d,Emotion Only,RandomForest,0.5714,0.6747,0.5879
GOOGL,label_1d,Emotion Only,GradientBoosting,0.5556,0.5882,0.5606
GOOGL,label_1d,Topic + Emotion,LogisticRegression,0.4762,0.6292,0.497
GOOGL,label_1d,Topic + Emotion,RandomForest,0.5714,0.6747,0.5879
GOOGL,label_1d,Topic + Emotion,GradientBoosting,0.4921,0.5556,0.5
GOOGL,label_3d,Baseline,LogisticRegression,0.5079,0.6737,0.5
GOOGL,label_3d,Baseline,RandomForest,0.5079,0.6737,0.5
GOOGL,label_3d,Baseline,GradientBoosting,0.5079,0.6737,0.5
GOOGL,label_3d,Topic Only,LogisticRegression,0.5079,0.6737,0.5
GOOGL,label_3d,Topic Only,RandomForest,0.4762,0.6292,0.4698
GOOGL,label_3d,Topic Only,GradientBoosting,0.4603,0.5854,0.4556
GOOGL,label_3d,Emotion Only,LogisticRegression,0.4603,0.6136,0.4541
GOOGL,label_3d,Emotion Only,RandomForest,0.5873,0.7045,0.5811
GOOGL,label_3d,Emotion Only,GradientBoosting,0.5873,0.675,0.5832
GOOGL,label_3d,Topic + Emotion,LogisticRegression,0.5079,0.6667,0.5005
GOOGL,label_3d,Topic + Emotion,RandomForest,0.5556,0.6889,0.5489
GOOGL,label_3d,Topic + Emotion,GradientBoosting,0.5397,0.6506,0.5348
GOOGL,label_5d,Baseline,LogisticRegression,0.4603,0.6304,0.5
GOOGL,label_5d,Baseline,RandomForest,0.4603,0.6304,0.5
GOOGL,label_5d,Baseline,GradientBoosting,0.4603,0.6304,0.5
GOOGL,label_5d,Topic Only,LogisticRegression,0.4603,0.6304,0.5
GOOGL,label_5d,Topic Only,RandomForest,0.5238,0.6341,0.5512
GOOGL,label_5d,Topic Only,GradientBoosting,0.5238,0.6154,0.5461
GOOGL,label_5d,Emotion Only,LogisticRegression,0.381,0.5412,0.4113
GOOGL,label_5d,Emotion Only,RandomForest,0.4603,0.5854,0.4873
GOOGL,label_5d,Emotion Only,GradientBoosting,0.5397,0.6133,0.5583
GOOGL,label_5d,Topic + Emotion,LogisticRegression,0.381,0.5412,0.4113
GOOGL,label_5d,Topic + Emotion,RandomForest,0.4127,0.5647,0.4432
GOOGL,label_5d,Topic + Emotion,GradientBoosting,0.4762,0.5714,0.497
META,label_1d,Baseline,LogisticRegression,0.5116,0.0,0.5
META,label_1d,Baseline,RandomForest,0.5116,0.4878,0.5108
META,label_1d,Baseline,GradientBoosting,0.5116,0.4878,0.5108
META,label_1d,Topic Only,LogisticRegression,0.4651,0.2069,0.4578
META,label_1d,Topic Only,RandomForest,0.3721,0.3415,0.3712
META,label_1d,Topic Only,GradientBoosting,0.4419,0.4,0.4405
META,label_1d,Emotion Only,LogisticRegression,0.4651,0.303,0.46
META,label_1d,Emotion Only,RandomForest,0.5349,0.5652,0.5368
META,label_1d,Emotion Only,GradientBoosting,0.4884,0.5,0.4892
META,label_1d,Topic + Emotion,LogisticRegression,0.4884,0.3125,0.4827
META,label_1d,Topic + Emotion,RandomForest,0.5349,0.5455,0.5357
META,label_1d,Topic + Emotion,GradientBoosting,0.4419,0.4545,0.4426
META,label_3d,Baseline,LogisticRegression,0.6512,0.4444,0.5995
META,label_3d,Baseline,RandomForest,0.5349,0.5,0.5441
META,label_3d,Baseline,GradientBoosting,0.5349,0.5,0.5441
META,label_3d,Topic Only,LogisticRegression,0.5581,0.3448,0.5124
META,label_3d,Topic Only,RandomForest,0.5349,0.5,0.5441
META,label_3d,Topic Only,GradientBoosting,0.5581,0.4571,0.543
META,label_3d,Emotion Only,LogisticRegression,0.5581,0.3871,0.5226
META,label_3d,Emotion Only,RandomForest,0.5349,0.4118,0.5136
META,label_3d,Emotion Only,GradientBoosting,0.4651,0.4103,0.4661
META,label_3d,Topic + Emotion,LogisticRegression,0.5349,0.2857,0.483
META,label_3d,Topic + Emotion,RandomForest,0.5581,0.2963,0.5023
META,label_3d,Topic + Emotion,GradientBoosting,0.4651,0.3784,0.4559
META,label_5d,Baseline,LogisticRegression,0.4651,0.4651,0.4674
META,label_5d,Baseline,RandomForest,0.4651,0.4651,0.4674
META,label_5d,Baseline,GradientBoosting,0.4651,0.4651,0.4674
META,label_5d,Topic Only,LogisticRegression,0.4651,0.6349,0.5
META,label_5d,Topic Only,RandomForest,0.4651,0.4651,0.4674
META,label_5d,Topic Only,GradientBoosting,0.4884,0.4762,0.4891
META,label_5d,Emotion Only,LogisticRegression,0.4884,0.6071,0.512
META,label_5d,Emotion Only,RandomForest,0.6279,0.6667,0.6391
META,label_5d,Emotion Only,GradientBoosting,0.5349,0.6,0.5489
META,label_5d,Topic + Emotion,LogisticRegression,0.5349,0.5,0.5326
META,label_5d,Topic + Emotion,RandomForest,0.5581,0.5581,0.5609
META,label_5d,Topic + Emotion,GradientBoosting,0.5581,0.5366,0.5576
MSFT,label_1d,Baseline,LogisticRegression,0.5349,0.4444,0.523
MSFT,label_1d,Baseline,RandomForest,0.4651,0.623,0.5208
MSFT,label_1d,Baseline,GradientBoosting,0.4651,0.623,0.5208
MSFT,label_1d,Topic Only,LogisticRegression,0.5116,0.5882,0.5406
MSFT,label_1d,Topic Only,RandomForest,0.4884,0.4211,0.4814
MSFT,label_1d,Topic Only,GradientBoosting,0.3953,0.381,0.398
MSFT,label_1d,Emotion Only,LogisticRegression,0.4884,0.5,0.4978
MSFT,label_1d,Emotion Only,RandomForest,0.5581,0.4242,0.5384
MSFT,label_1d,Emotion Only,GradientBoosting,0.5349,0.5,0.534
MSFT,label_1d,Topic + Emotion,LogisticRegression,0.4884,0.4211,0.4814
